order_id,customer_id,product_id,order_timestamp,quantity,unit_price,discount_pct,status,updated_at,pipeline_run_id,staged_at_utc,quarantine_reason,source_entity
O0032857,C02334,P0366,2026-09-08 22:14:00+00:00,5,34213.13,0.0,DELIVERED,2026-09-11 19:14:00+00:00,run_20260922T173739Z_efe2512e,2026-09-22T17:37:42.330158+00:00,orphan_customer,orders
O0048419,C00412,P0314,2026-09-04 19:37:00+00:00,8,61051.95,0.05,DELIVERED,2026-09-06 13:37:00+00:00,run_20260922T173739Z_efe2512e,2026-09-22T17:37:42.330158+00:00,orphan_customer,orders
O0029778,C00025,P0126,2026-08-20 02:39:00+00:00,2,71314.36,0.15,CANCELLED,2026-08-22 10:39:00+00:00,run_20260922T173739Z_efe2512e,2026-09-22T17:37:42.330158+00:00,orphan_customer,orders
O0013878,C02334,P0591,2026-07-30 14:08:00+00:00,3,27119.07,0.1,PACKED,2026-08-01 06:08:00+00:00,run_20260922T173739Z_efe2512e,2026-09-22T17:37:42.330158+00:00,orphan_customer,orders
O0022758,C00412,P0269,2026-07-25 22:53:00+00:00,3,17075.89,0.15,DELIVERED,2026-07-26 13:53:00+00:00,run_20260922T173739Z_efe2512e,2026-09-22T17:37:42.330158+00:00,orphan_customer,orders
O0000759,C01201,P0536,2026-07-23 09:20:00+00:00,2,24732.77,0.0,DELIVERED,2026-07-25 07:20:00+00:00,run_20260922T173739Z_efe2512e,2026-09-22T17:37:42.330158+00:00,orphan_customer,orders
O0030057,C02334,P0109,2026-07-09 04:39:00+00:00,7,57762.92,0.0,PENDING,2026-07-09 22:39:00+00:00,run_20260922T173739Z_efe2512e,2026-09-22T17:37:42.330158+00:00,orphan_customer,orders
O0000227,C02334,P0222,2026-07-02 01:37:00+00:00,3,25358.22,0.0,PAID,2026-07-04 08:37:00+00:00,run_20260922T173739Z_efe2512e,2026-09-22T17:37:42.330158+00:00,orphan_customer,orders
O0003622,C02334,P0068,2026-06-12 06:49:00+00:00,4,5426.97,0.0,CANCELLED,2026-06-14 06:49:00+00:00,run_20260922T173739Z_efe2512e,2026-09-22T17:37:42.330158+00:00,orphan_customer,orders
O0022211,C01201,P0376,2026-05-03 03:54:00+00:00,1,65552.7,0.0,DELIVERED,2026-05-05 14:54:00+00:00,run_20260922T173739Z_efe2512e,2026-09-22T17:37:42.330158+00:00,orphan_customer,orders
O0037447,C00412,P0168,2026-04-26 09:29:00+00:00,4,10039.87,0.15,PAID,2026-04-29 05:29:00+00:00,run_20260922T173739Z_efe2512e,2026-09-22T17:37:42.330158+00:00,orphan_customer,orders
O0005791,C00025,P0102,2026-04-17 05:23:00+00:00,3,50143.28,0.05,CANCELLED,2026-04-19 02:23:00+00:00,run_20260922T173739Z_efe2512e,2026-09-22T17:37:42.330158+00:00,orphan_customer,orders
O0000974,C01201,P0351,2026-03-31 17:02:00+00:00,4,55125.73,0.0,CANCELLED,2026-04-02 17:02:00+00:00,run_20260922T173739Z_efe2512e,2026-09-22T17:37:42.330158+00:00,orphan_customer,orders
O0002223,C99999,P0525,2026-03-30 23:12:00+00:00,2,36457.69,0.05,CANCELLED,2026-03-31 17:12:00+00:00,run_20260922T173739Z_efe2512e,2026-09-22T17:37:42.330158+00:00,orphan_customer,orders
O0026225,C02334,P0560,2026-03-27 20:18:00+00:00,1,64116.71,0.05,PENDING,2026-03-30 10:18:00+00:00,run_20260922T173739Z_efe2512e,2026-09-22T17:37:42.330158+00:00,orphan_customer,orders
O0002231,C01201,P0311,2026-03-27 23:40:00+00:00,8,59966.53,0.0,PENDING,2026-03-29 12:40:00+00:00,run_20260922T173739Z_efe2512e,2026-09-22T17:37:42.330158+00:00,orphan_customer,orders
O0028525,C02334,P0515,2026-03-17 16:49:00+00:00,1,27518.63,0.0,PENDING,2026-03-20 03:49:00+00:00,run_20260922T173739Z_efe2512e,2026-09-22T17:37:42.330158+00:00,orphan_customer,orders
O0017185,C02334,P0491,2026-02-27 17:03:00+00:00,2,65212.83,0.0,PACKED,2026-03-01 05:03:00+00:00,run_20260922T173739Z_efe2512e,2026-09-22T17:37:42.330158+00:00,orphan_customer,orders
O0007310,C02334,P0084,2026-02-19 11:08:00+00:00,3,81907.0,0.05,CANCELLED,2026-02-20 15:08:00+00:00,run_20260922T173739Z_efe2512e,2026-09-22T17:37:42.330158+00:00,orphan_customer,orders
O0036617,C00412,P0215,2026-02-14 16:21:00+00:00,4,66910.12,0.1,CANCELLED,2026-02-14 17:21:00+00:00,run_20260922T173739Z_efe2512e,2026-09-22T17:37:42.330158+00:00,orphan_customer,orders
O0021904,C00025,P0125,2026-01-28 18:31:00+00:00,7,2141.49,0.0,PAID,2026-01-30 00:31:00+00:00,run_20260922T173739Z_efe2512e,2026-09-22T17:37:42.330158+00:00,orphan_customer,orders
O0049614,C01201,P0344,2026-01-21 09:43:00+00:00,1,2785.93,0.05,SHIPPED,2026-01-23 19:43:00+00:00,run_20260922T173739Z_efe2512e,2026-09-22T17:37:42.330158+00:00,orphan_customer,orders
O0008075,C00412,P0358,2025-12-15 23:38:00+00:00,5,34120.87,0.05,CANCELLED,2025-12-18 15:38:00+00:00,run_20260922T173739Z_efe2512e,2026-09-22T17:37:42.330158+00:00,orphan_customer,orders
O0019575,C01201,P0265,2025-11-25 20:28:00+00:00,2,57069.88,0.0,PACKED,2025-11-27 22:28:00+00:00,run_20260922T173739Z_efe2512e,2026-09-22T17:37:42.330158+00:00,orphan_customer,orders
O0021993,C01201,P0548,2025-11-19 22:16:00+00:00,3,69028.89,0.0,DELIVERED,2025-11-22 01:16:00+00:00,run_20260922T173739Z_efe2512e,2026-09-22T17:37:42.330158+00:00,orphan_customer,orders
O0027303,C02334,P0050,2025-11-19 11:39:00+00:00,7,705.45,0.0,DELIVERED,2025-11-19 21:39:00+00:00,run_20260922T173739Z_efe2512e,2026-09-22T17:37:42.330158+00:00,orphan_customer,orders
O0006094,C00025,P0087,2025-10-02 20:13:00+00:00,8,29643.14,0.05,CANCELLED,2025-10-05 08:13:00+00:00,run_20260922T173739Z_efe2512e,2026-09-22T17:37:42.330158+00:00,orphan_customer,orders
O0029646,C00412,P0574,2025-09-22 03:29:00+00:00,4,11045.09,0.1,PAID,2025-09-22 17:29:00+00:00,run_20260922T173739Z_efe2512e,2026-09-22T17:37:42.330158+00:00,orphan_customer,orders
O0004017,C00025,P0269,2025-09-21 05:23:00+00:00,8,17075.89,0.0,PAID,2025-09-22 00:23:00+00:00,run_20260922T173739Z_efe2512e,2026-09-22T17:37:42.330158+00:00,orphan_customer,orders
O0047199,C00412,P0150,2025-09-17 14:32:00+00:00,7,30072.55,0.0,PENDING,2025-09-20 02:32:00+00:00,run_20260922T173739Z_efe2512e,2026-09-22T17:37:42.330158+00:00,orphan_customer,orders
O0000865,C01201,P0145,2025-09-10 11:42:00+00:00,7,7603.15,0.0,CANCELLED,2025-09-12 23:42:00+00:00,run_20260922T173739Z_efe2512e,2026-09-22T17:37:42.330158+00:00,orphan_customer,orders
O0012346,C00412,P0399,2025-09-03 01:06:00+00:00,4,46562.84,0.0,PACKED,2025-09-03 11:06:00+00:00,run_20260922T173739Z_efe2512e,2026-09-22T17:37:42.330158+00:00,orphan_customer,orders
O0046171,C01201,P0290,2025-08-30 12:52:00+00:00,7,84471.94,0.1,CANCELLED,2025-08-30 14:52:00+00:00,run_20260922T173739Z_efe2512e,2026-09-22T17:37:42.330158+00:00,orphan_customer,orders
O0006620,C00412,P0164,2025-08-14 04:23:00+00:00,4,53800.39,0.15,DELIVERED,2025-08-15 11:23:00+00:00,run_20260922T173739Z_efe2512e,2026-09-22T17:37:42.330158+00:00,orphan_customer,orders
O0043793,C00412,P0021,2025-08-12 06:45:00+00:00,7,42967.98,0.0,CANCELLED,2025-08-13 13:45:00+00:00,run_20260922T173739Z_efe2512e,2026-09-22T17:37:42.330158+00:00,orphan_customer,orders
O0048730,C02334,P0033,2025-08-02 06:24:00+00:00,4,74739.14,0.1,CANCELLED,2025-08-03 09:24:00+00:00,run_20260922T173739Z_efe2512e,2026-09-22T17:37:42.330158+00:00,orphan_customer,orders
O0025119,C00412,P0170,2025-07-15 15:04:00+00:00,2,49207.68,0.05,SHIPPED,2025-07-18 09:04:00+00:00,run_20260922T173739Z_efe2512e,2026-09-22T17:37:42.330158+00:00,orphan_customer,orders
O0017737,C00412,P0576,2025-07-11 20:55:00+00:00,1,33507.12,0.0,SHIPPED,2025-07-13 03:55:00+00:00,run_20260922T173739Z_efe2512e,2026-09-22T17:37:42.330158+00:00,orphan_customer,orders
O0022836,C00412,P0020,2025-07-06 19:40:00+00:00,1,38796.92,0.0,PACKED,2025-07-09 04:40:00+00:00,run_20260922T173739Z_efe2512e,2026-09-22T17:37:42.330158+00:00,orphan_customer,orders
O0004269,C00025,P0209,2025-06-24 11:14:00+00:00,4,3217.97,0.0,CANCELLED,2025-06-26 02:14:00+00:00,run_20260922T173739Z_efe2512e,2026-09-22T17:37:42.330158+00:00,orphan_customer,orders
O0031465,C00412,P0421,2025-06-13 18:56:00+00:00,6,53650.53,0.1,PENDING,2025-06-15 03:56:00+00:00,run_20260922T173739Z_efe2512e,2026-09-22T17:37:42.330158+00:00,orphan_customer,orders
O0035268,C00025,P0335,2025-05-29 02:09:00+00:00,4,70362.27,0.0,PENDING,2025-05-29 22:09:00+00:00,run_20260922T173739Z_efe2512e,2026-09-22T17:37:42.330158+00:00,orphan_customer,orders
